 IFER TOTAL / INTERCOMMUNALITY,6.0,1.0,6.0,2.0,6.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,7.0,4.0,2.0,3.0,3.0,5.0,1.0,1.0,6.0,6.0,6.0,7.0,8.0,7.0,8.0,8.0,7.0,6.0,6.0,7.0,7.0,7.0,8.0,8.0,2019.0,1020.0
TH - INTERCOMMUNALITY / ACTUAL INTERCOMMUNALITY AMOUNT OF THP/E FOR THE BENEFIT OF THE STATE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3549.0,905.0
DCRTP / Municipality,1825.0,5.0,24.0,6.0,13.0,21.0,18.0,20.0,18.0,15.0,12.0,10.0,10.0,10.0,10.0,14.0,9.0,8.0,8.0,6.0,8.0,5.0,4.0,22.0,17.0,17.0,19.0,21.0,16.0,15.0,1795.0,1040.0,1005.0,954.0,943.0,896.0,856.0,1515.0,1499.0,699.0,872.0
FB - UNION AND ORG. ASSIMILES / ACTUAL AMOUNT,495.0,762.0,646.0,991.0,1593.0,893.0,968.0,1092.0,1071.0,1122.0,1224.0,1305.0,1331.0,1351.0,1434.0,1664.0,1422.0,1424.0,1359.0,1136.0,1083.0,1012.0,961.0,663.0,661.0,730.0,742.0,755.0,748.0,776.0,422.0,418.0,377.0,336.0,318.0,297.0,276.0,742.0,717.0,369.0,529.0
FNB - CAAA / PROPORTIONAL RIGHT - ACTUAL AMOUNT,555.0,806.0,802.0,855.0,938.0,1107.0,1083.0,1057.0,1051.0,1053.0,1069.0,1056.0,1018.0,999.0,981.0,959.0,920.0,888.0,890.0,873.0,873.0,850.0,829.0,818.0,787.0,782.0,771.0,764.0,726.0,727.0,533.0,506.0,510.0,491.0,477.0,444.0,423.0,927.0,904.0,280.0,363.0
CFE - CHAMBER OF COMMERCE AND INDUSTRY / REAL NET PRODUCT,1702.0,6855.0,6299.0,8150.0,7895.0,6926.0,6947.0,6847.0,6789.0,6944.0,7133.0,7277.0,7544.0,7679.0,7608.0,7734.0,7897.0,7874.0,8774.0,8607.0,8420.0,8715.0,9599.0,6298.0,6274.0,6281.0,6321.0,6543.0,6539.0,6318.0,1711.0,1653.0,1514.0,1401.0,1408.0,1331.0,1266.0,5614.0,5269.0,202.0,219.0
 IFER TOTAL / MUNICIPALITY,5.0,,5.0,3.0,10.0,37.0,34.0,25.0,18.0,11.0,11.0,13.0,11.0,5.0,5.0,12.0,8.0,4.0,5.0,4.0,6.0,1.0,1.0,5.0,5.0,5.0,5.0,6.0,5.0,5.0,7.0,6.0,6.0,6.0,7.0,7.0,7.0,7.0,7.0,414.0,215.0
FB - GEMAPI / REAL INTER-COMMUNALITY AMOUNT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,5.0,11.0,299.0,605.0,64.0,173.0
 FNB - UNION AND SIMILAR ORGANIZATIONS / ACTUAL AMOUNT,38.0,222.0,144.0,575.0,1326.0,1814.0,1843.0,1745.0,1708.0,1668.0,1642.0,1567.0,1491.0,1445.0,1371.0,1402.0,1132.0,1076.0,1055.0,767.0,651.0,501.0,413.0,126.0,117.0,81.0,75.0,81.0,61.0,70.0,38.0,29.0,32.0,25.0,22.0,25.0,20.0,53.0,66.0,69.0,85.0
CFE - TSE / REAL NET PRODUCT,312.0,123.0,102.0,58.0,53.0,280.0,285.0,263.0,254.0,241.0,233.0,227.0,56.0,52.0,46.0,52.0,52.0,52.0,65.0,62.0,61.0,123.0,159.0,103.0,122.0,157.0,378.0,417.0,476.0,541.0,277.0,245.0,228.0,238.0,225.0,177.0,162.0,1260.0,1099.0,29.0,63.0
CFE - INTERCOMMUNALITY / REAL NET PRODUCT / FPE IN WIND ZONE,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,10.0,16.0,22.0,25.0,30.0,37.0,42.0,48.0,63.0,64.0,24.0,46.0
FB - TSE / ACTUAL AMOUNT,61.0,13.0,35.0,3.0,4.0,7.0,5.0,10.0,24.0,25.0,22.0,36.0,3.0,3.0,2.0,3.0,5.0,5.0,3.0,4.0,4.0,30.0,36.0,37.0,44.0,52.0,91.0,97.0,124.0,139.0,60.0,60.0,49.0,55.0,57.0,50.0,47.0,475.0,562.0,29.0,41.0
CFE - INTERCOMMUNALITY / REAL NET PRODUCT / FPZ IN ZAE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.0,29.0
 FNB - GEMAPI / REAL INTER-COMMUNALITY AMOUNT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,16.0,15.0,14.0,23.0
 CFE - CHAMBER OF TRADE / ADDITIONAL DUTY / NET PRODUCT,64.0,258.0,227.0,287.0,187.0,215.0,206.0,175.0,155.0,132.0,134.0,151.0,188.0,159.0,155.0,166.0,192.0,180.0,213.0,248.0,258.0,433.0,560.0,230.0,235.0,266.0,223.0,227.0,186.0,181.0,46.0,53.0,42.0,37.0,29.0,33.0,27.0,364.0,444.0,8.0,22.0
CFE - GEMAPI / REAL INTERCOMMUNAL NET PRODUCT / SINGLE FP OR IN ZAE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,27.0,36.0,3.0,9.0
CFE - GEMAPI / REAL NET INTERCOMMUNAL PRODUCT / SINGLE FP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,,6.0
TH - UNION AND ORG.ASSIMILES / ACTUAL AMOUNT,474.0,651.0,570.0,763.0,1108.0,963.0,1056.0,1047.0,1040.0,1054.0,1176.0,1178.0,1236.0,1289.0,1363.0,1161.0,986.0,997.0,947.0,816.0,771.0,798.0,784.0,597.0,612.0,667.0,676.0,686.0,673.0,722.0,494.0,484.0,419.0,413.0,381.0,341.0,292.0,720.0,721.0,4.0,5.0
TAFNB - MUNICIPALITY / REAL NET AMOUNT,37.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.0,21.0,7.0,9.0,12.0,7.0,5.0,27.0,35.0,4.0,4.0
CFE - GEMAPI / REAL NET INTERCOMMUNAL PRODUCT / ADDITIONAL TAXATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,9.0,10.0,3.0,1.0
TH - TSE / ACTUAL AMOUNT,100.0,5.0,15.0,3.0,17.0,231.0,213.0,247.0,221.0,214.0,208.0,252.0,36.0,31.0,24.0,30.0,9.0,9.0,6.0,3.0,3.0,23.0,36.0,16.0,16.0,33.0,191.0,153.0,178.0,217.0,102.0,86.0,55.0,77.0,71.0,60.0,49.0,1187.0,1293.0,,
ETF - TSE / ACTUAL AMOUNT,,,,,1.0,7.0,9.0,11.0,15.0,12.0,18.0,19.0,3.0,2.0,,,1.0,1.0,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,1.0,1.0,,
TH - TSE GRAND PARIS OR EPFL GUADELOUPE OR EPFL MARTINIQUE / ACTUAL AMOUNT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.0,56.0,65.0,65.0,62.0,363.0,392.0,,
FB - TASA / ACTUAL AMOUNT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,2.0,2.0,3.0,68.0,69.0,,
FB - TSE OTHERS / REAL NET AMOUNT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,6.0,5.0,4.0,33.0,43.0,,
CFE - TASA / REAL NET PRODUCT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,2.0,2.0,8.0,4.0,,
TH - REAL INTERCOMMUNAL AMOUNT GEMAPI TAX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,17.0,99.0,1625.0,1734.0,,
